Date,Open,High,Low,Close,Adj Close,Volume
2014-07-15,0.655000,0.702000,0.601000,0.601000,0.601000,192500
2014-07-16,0.591000,0.639000,0.591000,0.639000,0.639000,2200
2014-07-17,0.639000,0.639000,0.639000,0.639000,0.639000,0
2014-07-18,0.639000,0.639000,0.639000,0.639000,0.639000,0
2014-07-21,0.592000,0.592000,0.592000,0.592000,0.592000,3000
2014-07-22,0.592000,0.592000,0.592000,0.592000,0.592000,0
2014-07-23,0.601000,0.601000,0.601000,0.601000,0.601000,12900
2014-07-24,0.601000,0.601000,0.601000,0.601000,0.601000,0
2014-07-25,0.601000,0.601000,0.601000,0.601000,0.601000,0
2014-07-28,0.568000,0.568000,0.568000,0.568000,0.568000,500
2014-07-29,0.450000,0.454000,0.450000,0.454000,0.454000,107500
2014-07-30,0.450000,0.450000,0.450000,0.450000,0.450000,200
2014-07-31,0.450000,0.450000,0.450000,0.450000,0.450000,0
2014-08-01,0.446000,0.446000,0.446000,0.446000,0.446000,100
2014-08-04,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-05,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-06,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-07,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-08,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-11,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-12,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-13,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-14,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-15,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-18,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-19,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-20,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-21,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-22,0.446000,0.446000,0.446000,0.446000,0.446000,0
2014-08-25,0.579000,0.579000,0.579000,0.579000,0.579000,300
2014-08-26,0.579000,0.579000,0.579000,0.579000,0.579000,0
2014-08-27,0.579000,0.579000,0.579000,0.579000,0.579000,0
2014-08-28,0.579000,0.579000,0.579000,0.579000,0.579000,0
2014-08-29,0.579000,0.579000,0.579000,0.579000,0.579000,0
2014-09-02,0.599000,0.599000,0.599000,0.599000,0.599000,2300
2014-09-03,0.599000,0.599000,0.599000,0.599000,0.599000,0
2014-09-04,0.599000,0.599000,0.599000,0.599000,0.599000,0
2014-09-05,0.839000,0.839000,0.839000,0.839000,0.839000,30200
2014-09-08,0.910000,0.910000,0.910000,0.910000,0.910000,1600
2014-09-09,0.910000,0.910000,0.910000,0.910000,0.910000,0
