Date,Open,High,Low,Close,Adj Close,Volume
2011-12-28,1.600000,1.600000,1.600000,1.600000,1.600000,3000
2011-12-29,1.600000,1.600000,1.600000,1.600000,1.600000,0
2011-12-30,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-03,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-04,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-05,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-06,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-09,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-10,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-11,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-12,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-13,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-16,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-17,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-18,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-19,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-20,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-23,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-24,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-25,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-26,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-27,1.600000,1.600000,1.600000,1.600000,1.600000,0
2012-01-30,1.400000,1.400000,1.400000,1.400000,1.400000,900
2012-01-31,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-01,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-02,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-03,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-06,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-07,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-08,1.400000,1.400000,1.400000,1.400000,1.400000,1000
2012-02-09,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-10,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-13,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-14,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-15,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-16,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-17,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-21,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-22,1.400000,1.400000,1.400000,1.400000,1.400000,0
2012-02-23,1.400000,1.400000,1.400000,1.400000,1.400000,0
